Page,Family,EnglishCommon,LatinSpecies,Length,Voice,Notes
214,Lyrebirds,Albert's Lyrebird,Menura alberti,male 80-90cm; female 65-75cm,"both this species and the Superb have powerful, flexible voices and use a mixture of their own calls and mimicry of other species in long unbroken passages of song. But compared with the Superb, the Albert's Lyrebird restricts its mimicry to a few species. The voice can create sounds at one moment deep and resonant, switch to high thin squeaks and sharp trills, then change again to harsh noises. Some of the passages of song begin with a soft, mellow sound that rises clearer and louder, and which has been likened to the howl of a dingo. Males call many hours daily in the peak of the winter breeding season; quiet at other times. The Green Catbird and Satin Bowerird feature strongly in its imitations. In alarm gives a shrill shriek. Evn when calling strongly, this shy and elusive species is not easily sighted in the dense tangled vegetation of its habitat with dim light and the birds wary.",
216,"Scrub-birds, Bristlebirds",Rufous Scrub-bird,Atrichornis rufescens,17-19cm,"the powerful, ringing calls can be heard as rather harsh and metallic from far away; at close range they are extremely, almost painfully, loud -- a slow, deliberate ""cheip"" with the central ""ei"" strongly emphasised. Calls include a ""cheip, cheip, cheip, cheip"", a more abrupt,equally loud, ""chep-chep-chep-"", a sharper ""chwiep-chwiep-chwiep"" and a whip-cracked ""chweeip-chweeip-"". Other sounds are only audible at close range: soft mellow cheeps, trills, scoldings.",
216,"Scrub-birds, Bristlebirds",Noisy Scrub-bird,Atrichornis clamosus,21-23cm,"loud, clear, ringing territorial calls of male can be heard up to a kilometre away in winter breeding season. Call is a series of notes, initially slow, sharp, becoming lower, richer, faster, increasingly powerful, almost painfully loud if the bird comes close under low cover. The sound is not unpleasant, is even musical, yet has something of the metallic screech of a dry bearing forced to turn, a short, sharp, loud squeak at each revolution, faster and loud: ""chwiep, chwiep, chwip-C`HWIPCHWIP-CHIWIEP-chwp-chwp"".",
216,"Scrub-birds, Bristlebirds",Eastern Bristlebird,Dasyornis brachypteus,20-22cm,"songs of varied cheerful, musical notes, some extremely high and weak, others more mellow, clear and strong; some sequences with slight whp-crack finish. Repeats a sequence several times, then adds variations: ""wit-wit wheerie-whEIT""; ""chi-chi-cheery-whEIT; ""wht-wheeeir-weeit-weeit-whit""; ""queeity-queeeir"". In alarm a scolding ""chzzzt-chzzzt"".",
216,"Scrub-birds, Bristlebirds",Western Bristlebird,Dasyornis longirostris,18-21cm,"similar to Eastern Bristlebird; has slightly sad quality reminiscent of lonely moonlight singing of Willie Wagtail. Song at the eastern end of its range differs in detail from song of separated populations further west; variations by individual birds. Intermixed sharp and mellow notes form descending sequences: ""tchip-eeee, quit-a-weer""; ""tchip-it-er-pieerit""; and ""quiee-ity-pieer, quieeity-pieer"".",
216,"Scrub-birds, Bristlebirds",Rufous Bristlebird,Dasyornis broadbenti,24-27cm,"a clear, ringing whistle; if recognised, helps locate these shy birds. Ususally a series of clear, sharp notes lead into a much stronger, quick, double whip-crack; these last notes are often repeated by the female: ""chip, chip, chip, chup, CHEE-O-WHIP"".",
218,Treecreepers,White-browed Treecreeper,Climacteris affinis,14-15cm,"sharp, abrupt, very metallic and penetrating, ""chrip, chrip, chrip"" and as a double noted ""chip-chip-, chip-chip"". Also a rapid trill, a ripple of sharp, metallic sound lasting several seconds.",
218,Treecreepers,Brown Treecreeper,Climacteris picumnus,16-18cm,"a clear, high""whit, whit, whit, whit""; each note has a strong sharp finish.",
218,Treecreepers,Rufous Treecreeper,Climacteris rufa,15-17cm,"sharp, ringing ""chip, chip, chip"", widely an regularly spaced, 2-5 seconds apart. The trill is very high and sharp, descending and slowing, lasting 2 or 3 seconds.",
218,Treecreepers,Black-tailed Treecreeper,Climacteris melanura,17-20cm,"sharp , regular ""chip, chip, chip"" at intervals of about a second, similar to call of Rufous; also as a rapid descending trill, ""chip-chip-chipchipipipip"".",
218,Treecreepers,Red-browed Treecreeper,Climacteris erythrops,14-15.5cm,"squeaks at very high pitch, weak, thin ""iep, iep, iep"". Also a fast, scratchy trill; begins exremely high and squeaky, ends with several stronger, harsher squeaks: ""iep-ip-ip-ip-i-i-i-i-ip-chzip-chziep-chziep""; in the distance sounds more like the trill of a fairy wren than of a treecreeper.",
218,Treecreepers,White-throated Treecreeper,Cormobates leucophaeus,13-15cm,"loud, ringing, clear, musical ""whit-whit-whit-whit-"", rippling ""quit-quit-quit-"" and more mellow, musical ""twiet-twiet-twiet-"". Also a loud, rippling trill.",
220,Purple-crowned and Blue Fairy-wrens,Purple-crowned Fairy-wren,Malurus coronatus,14-16cm,"distinctive, not the high and often weak trill of other fair-wrens, but a strong, vigorous, reeling sequence with some almost harsh notes. Commonly a vigorous, rollicking, scrub-wren-like ""zeepa-zeipa-zeipa"" or ""cheipa-cheipa-"". Many variants: ""tcheip-tcheip-tcheip-"" and ""tzwip-tzwip-tzwip-"".",
220,Purple-crowned and Blue Fairy-wrens,White-winged Fairy-wren,Malurus leucopterus,12-13cm,"an undulating, musical, reeling trill that carries some distance in open country and which has a metallic, mechanial quality to it. Undulating pitch and volume give an impression of uneven mechanical rotation, like a rapidly retrieving fishing reel or a sewing machine at fluctuating speed: ""chirr-IRR-irr-IRIRit-chirr-IRRirit-irirIRIRRIT-chirrir-IRRITirrit-"", a pleasant, rollicking sound that is sustained and repeated. Also has an abrupt, high, weak, insect-like ""prrit!"".",
220,Purple-crowned and Blue Fairy-wrens,Splendid Fairy-wren,Malurus splendens,13-14cm,"song a very rapid tremulous trill, the ""reeling"" much less pronounced than in the call of the White-winged, but gives the Splendid's song an undulating quality. The notes forming the 3 or 4 seconds duration of the song vary; usually high, squeaky sounds intermingle with softer or mellow notes, or begins with vry rapd, high, insect-like squeaks for a second or two, then mves to lower, stronger or whistled notes, but usually with a reeling, rhythmic pattern: ""trit-triiit-trit-tirreet-tirreet-trit-tirreet-tirreet"". Other sounds include extremely high, short, vibrating trills, a loud, whistled warning trill, frequent weak ""trrrip"" contact squeaks and a plaintive, soft ""sreee"" seeking contact.",
220,Purple-crowned and Blue Fairy-wrens,Superb Fairy-wren,Malurus cyaneus,13-14cm,"song a vigorous trill, beginning squeakily, but quickly strengthening into a strong, downward cascade of louder, less sharp musical notes. Foraging party maintains contact with weak, sharp ""trrit"" r plaintive ""treee"" from those falling behind; strident version in alarm, ""terrrrit!"".",
222,Chestnut-shouldered Fairy-wrens,Variegated Fairy-wren,Malurus lamberti,13-14cm,"sings only in the breeding season, a high, metallic, squeaky and rather clockwork or mechancial rattling trill at fairly uniform pitch ""tririt-tirirrittirit-trit-tirrririt-trit-tirrit"". The most common call, for much of the year the predominant sound, is a hard, staccato, erratic and abrupt ""trrt-trtt, rrrr-rrt-rt-"", strong rather than high or squeaky, and apparently in warning, attracting others of the party to take up the call, and to dive into cover if there is sufficient urgency in the sound. Varied contact calls are given while foraging; these change from race to race -- a rapid, sharp ""trrit"" from east-coastal nominate race, and a thinner, squeakier, plaintive ""sreee"" from inland and northern races.",
222,Chestnut-shouldered Fairy-wrens,Lovely Fairy-wren,Malarus amabilis,13-14cm,"sings at any time of year, launching directly into a slightly descending, rippling trill. Contact call a high yet rather soft ""streee"" given continually to keep family party together; churring in alarm.",
222,Chestnut-shouldered Fairy-wrens,Blue-breasted Fairy-wren,Malarus pulcherrimus,14-15cm,"song begins with extremely high, squeaky, thin notes leading in to several seconds of lower pitched, very rapid, hard, mechanical, vibrating trilling. More often heard are rattling, mechanical alarms, ""trrrt-trt-trtt-trt-trrrt"".",
222,Chestnut-shouldered Fairy-wrens,Red-winged Fairy-wren,Malurus elegans,14-16cm,"song begins with several squeaky notes followed by a rather rattling, uniform trill; quite unlike song of Splendid, the usualy overlapping species, and separable from call of Blue-breasted, which is usually in drier inland habitats. Alarm call a strident, rapid ""trrit-trrit-trrit"".",
224,"Red-backed Fairy-wren, Emu-wrens",Red-backed Fairy-wren,Malurus melanocephalus,10-13cm,"begins with squeaks so high and weak that they would be heard only when very close, followed by a trill beginning with high squeaky notes, usually switching to lower, louder, rattling sounds: ""sreee-sreee-trichee-trichee-tchakka-tchakkatchakka"". This is usually given by males in breeding season. Contact call within foraging group is a soft ""tsiet""; the alarm call a louder, sharper ""trrrrit!"".",
224,"Red-backed Fairy-wren, Emu-wrens",Southern Emu-wren,Southern Emu-wren,15-19cm; includes tail 11-12cm,"similar to fairy-wrens but higher, weak, scratchy, yet it carries well over open heath, giving the best chance to locate birds; may be beyond upper limit of hearing of some observers. The squeaky calls have an undulating, rollicking variation of volume and pitch, ""siee-seit-tzeet-tzeet-siee-seeit-tzeeit-tzeet-seee-seeit"".",
224,"Red-backed Fairy-wren, Emu-wrens",Mallee Emu-wren,Stipiturus mallee,13-15cm; includes tail 11-12cm,"like southern Emu-wren, but weaker. The song is a feeble trill of squeaky, weak, insect-like sounds lasting 2 or 3 seconds, usually from males in breeding season. More frequently given is the high, metallic squeak of the contact call, a thin, drawn out ""sreeep"". Although weak, this sound carries some distance, and, together with the stronger alarm call, gives the best chance of locating these birds that so persistently stay out of sight. The alarm is a sharper, harsh, abrupt ""tirrit"".",
224,"Red-backed Fairy-wren, Emu-wrens",Rufous-crowned Emu-wren,Stipiturus ruficeps,12-13cm; includes tail 6.5-7.5cm,"similar to other emu-wrens, but extremely high, weak. Contact call a fine, penetrating, cricket-like, squeaked ""tseeet-tseeet-tzeeet-"". Song, usually given by males in breeding season, is a fast succession of scratchy, squeaky notes, seeming jumbled rather than trilled, at varied strengths and pitches. Like that of Southern Emu-wren but weaker, higher; most calls high to extremely high, often beyond observers' hearing unless very close.",
226,Grasswrens,Black Grasswren,Amytornis housei,19-21cm,"calls are distinctive and quite loud, making any search for these birds easier. The song is harsher, stronger than that of any of the much smaller fairy-wrens of the region. Gives a rather metallic, slow, rattling sequence, into which are inserted low, husky and high, scratchy, squeaky sound and contrasting brief, clear, mellow, musical, rising whistles: ""chaka-chuk-seeeip-chuk-zwiEEEP, chak-chukchuk-chewiEEEP! chuk-chuk-seeip"".",
226,Grasswrens,White-throated Grasswren,Amytornis woodwardi,20-22cm,"foraging flocks keep together with sharp, scratchy ""chwiep"" contact calls; break into harsher ""tzzrrrt!"" alarm calls at the slightest sign of danger. The song, perhaps given only in the breeding season, is loud, rich, and varied, rather like that of the Reed Warbler, an intermix of sharp and deep rich, musical notes, ""chziep-chiep-quorrop, chirrip-chok, chwiep-quarriep-"".",
226,Grasswrens,Carpentarian Grasswren,Amytornis dorotheae,16-17cm,"contact within groups is maintained with a high, cricket-like ""tseeit"". In warning a harsher, buzzing ""tzzeit, tzzeit"". The song is a rapid, cheerful, canary-like warbling, a musical intermingling of squeaky, high trills and deeper, stronger, prolonged churring sounds: ""chrrip-chewip-chur-r-r-r-r-r-p.""",
226,Grasswrens,Grey Grasswren,Amytornis barbatus,17.5-20cm,"contact between birds is maintained by very high-pitched, quick ""tsip"" calls, given by one, answered by others in the group -- an almost unbroken, twittering rippling of metallic, squeaky ""tsit-tsit-tsit, tsit-tzit, tsit"" calls that continues for several seconds. The alarm is a high, squeaked ""tseeep"".",
226,Grasswrens,Eyrean Grasswren,Amytornis goyderi,15-16cm,"contact calls are extremely high-pitched, weak, insect-like squeaks, probably inaudible unless close by: ""tseee"" and tinkling, squeaked ""tsip-tsip-tseee-tsip"". Song begins with these same high squeaks, changing abruptly to a fast, louder, lower, rattling, musical chatter, ""tsee-tseee-chakachakachaka""; alarm a sharp, strong ""tzeeet"".",
228,Grasswrens,Striated Grasswren,Amytornis striatus,15-18.5cm,"the contact calls are high, scratchy squeaks and trills, ""tsee-tsee, tzee, chweep-chweep-chweep""; in alarm a harsher, louder ""tzirrr!"". The song begins with simiar high squeaks, quickly followed by rapid, loud, clear, rippling, musical notes, ""tsee-tsee, piew-piew-piew"".",
228,Grasswrens,Short-tailed Grasswren,Amytornis merrotsyi,NA,NA,until recently thought sub-species
228,Grasswrens,Thick-billed Grasswren,Amytornis textilis,15-20cm,"western race has quite a strong call, usually a persistent, rather treecreeper-like, whistled ""cheep-cheep-cheep"" that may be extended into a brief musical, rattling trill, ""chip-chip, chew-wekaweka""; eastern race extremely high, soft ""see-see-see"" and brief squeaky trill, ""see-see, tsewit-tsewit"".",
228,Grasswrens,Dusky Grasswren,Amytornis purnelli,15-18cm,"high rippling trill, the first several ntes faint squeaks, the rest an undulating ow-high sequence, ""see-see, tchoo-tchoo-chee""; contact calls, weak twitterings, ""tsee-tsee-tsee-""; harsher, staccato ""tchik-tchik!"" in alarm.",
228,Grasswrens,Kalkadoon Grasswren,Amytornis ballarae,NA,NA,until recently sub-species
230,Pardalotes,Spotted Pardalote,Pardalotus punctatus,8-10cm,"contact call is repeated regularly for long periods; an even, musical, soft, whistled ""weep-weeip"". The song is a sequence of clear whistled notes, ""whee, whee-bee"" or ""sleep, may-bee"". The sound of the yellow-rumped race has a quiet, rather mournful quality: ""chnk-whee-a-bee"", soft, high, then falling away.",
230,Pardalotes,Forty-spotted Pardalote,Pardalotus quadragintus,9-10cm,"similar to that of the Spotted Pardalote, perhaps harsher, double-noted ""wheet-whoo""; a louder, nasal ""twnnt"" in the breeding season.",
230,Pardalotes,Red-browed Pardalote,Pardalotus rubricatus,10-12cm,"distinctive, pleasant song quite unlike that of other pardalotes; a loud, mellow whistle of five or six notes, one or several slow and rising, three to five higher, quicker, the result like a softly muted Crested Bellbird or rosella.",
230,Pardalotes,Striated Pardalote,Pardalotus striatus,9.5-11.5cm,"clear, sharp, musical ""witta-witta"", the second part slightly lower, repeated regularly at several second intervals or long periods; also gives soft, low trills.",
232,"Pilotbird, Rock Warbler, Brown Srubwrens, Scrubtit",Pilotbird,Pycnoptilus floccosus,16.5-17cm,"the male's loud call described as having ""piercing sweetness""; ""whit-wheet-WHEE-a-wer"" or fast ""whit-whit-WHEER, whit-whit-WHEER""; these and other variations have the clear musical quality of bristlebird calls. Females also may give these calls and softer ""whitta-whittee"" and ""too-whit-too-whittee"" responses.",
232,"Pilotbird, Rock Warbler, Brown Srubwrens, Scrubtit",Rockwarbler,Origma solitaria,13-14cm,"a clear ""chweep-chweep"" with a slightly mournful quality to the sound. Also a sharper ""chwik-chwik"", and harsh, scolding ""tzzt, tzzt"".",
232,"Pilotbird, Rock Warbler, Brown Srubwrens, Scrubtit",Atherton Scrubwren,Sericornis keri,13-14cm,"sharp, scratchy, deliberate ""chi-wiep, chi-wiep,-""; rapid ""chiep-chiep-chiep""; musical ""chippity-wiep, chippity-wiep"".",
232,"PIlotbird, Rock Warbler, Brown Srubwrens, Scrubtit",Large-billed Scrubwren,Sericornis magnirostris,12-13cm,"cheerful, sharp, loud ""chiWIP-chiWIP-chiWIP""; faster, scratchy ""chizip-chzipchzip""; piercing ""chweeip-chweeip""; scolding ""kzzip-kzzip-kzzip""; mimics other small birds.",
232,"Pilotbird, Rock Warbler, Brown Srubwrens, Scrubtit",Tropical Scrubwren,Sericornis beccarii,11-12cm,"similar to that of widespread White-browed Srubren, a very rapid, undulating ""chippity-wippit, chippity-wippit-""; quick, scolding ""squarr-squarr-squarr"".",
232,"Pilotbird, Rock Warbler, Brown Srubwrens, Scrubtit",Scrubtit,Acanthornis magnus,11-12cm,"piercing whistle, extremely rapidly repeated, sharp ""chi-chi-"" followed by louder, clearly whistled ""chiew"" or ""chiewit"", sequence varied: ""chi-chi-hi-chi-CHIEW, chi-chi-ch-chi-CHEWIT""; ""chiewit-chiewit, chi, chi, chi""; ""chiewit, chiewit, chiewit"". Also low, scolding chatter, ""chak-chak-chak"".",
234,"Fernwren, Dark-faced Scrubwrens",Fernwren,Oreoscopus gutturalis,13-15cm,"a high, fine, ""pee-pee-PEEEE"", the last note strongly whistled, musical; another call is softer, brief, more even: ""pip-pip-pip-peeeee"". These calls are rather like display calls of Pied Honeyeater.",
234,"Fernwren, Dark-faced Scrubwrens",Yellow-throated Scrubwren,Sericornis citreogularis,12-14cm,"varied melodious, cheery, whistled calls, rather like those of Mistletoebird. Commonly a sequence of very sharp notes intermixed with slightly lower, more mellow notes, ""sieeip-chzweep-chip-sieep-chzeep"". An accomplished mimic of the calls of other birds. Contact calls sharp, abrupt ""chiep, chiep, chiep"". Scolds harshly: ""chzzak-chzzak-chzzak"". Birds of far northern population can have more chattering, less whistling in repertoire.",
234,"Fernwren, Dark-faced Scrubwrens",White-browed Scrubwren,Sericornis frontalis,11-13cm,"song is a high, clear, varied whistle: ""ch-weip, ch-weip, ch-weip""; ""chi-wipip, chi-wipip""; ""chp-wiep, chp-wiep""; ""cheweep-chip""; and a very high ""ts-eeer, tseeer"", the second syllable usually higher. In alarm, scolds with sharp, hard, metallic, rattling ""chk-chk-ckchkchk"" or buzzing ""tzzzt-tzzt-tzzt"". As contact between members of the group while foraging, softer, more intimate chittering and churring sounds. Often includes mimicry of other species.",
234,"Fernwren, Dark-faced Scrubwrens",Tasmanian Scrubwren,Sericornis humilis,12-14cm,"calls ""chzit-chzit"", very scratchy, sharp; the song is described as like a squeaking wheel, a scratchy, squeaky ""chzeit-chzit-chzitty-chzitty-chzitty"". The alarm call is a scolding, rasping chatter.",
236,"Heathwrens, Fieldwrens, Speckled Warbler",Chestnut-rumped Heathwren,Hylacola pyrrhopygia,13-14cm,"renowned for its spirited song into which is blended passages of mimicry of other bids in high, clear, pure, silvery noes: ""fchweep-tweep-toowheet, tweet-wheeit-wheeit, chirreeep, twitchy-twitchy-quorrop-quorreep"", and similar notes in seemingly endless variety. Harsh chatting and scolding, ""chzzt-chzzzt!"", in alarm.",
236,"Heathwrens, Fieldwrens, Speckled Warbler",Shy Heathwren,Hylacola cauta,12-14cm,"song a clear, sharp, musical sequence, not as sustained or varied as that of the Chestnut-rumped. It begins with several high, thin squeaks, then stronger, a touch of buzzing rattle that fades away: ""see-sree, chweip-chzeip-quirrip-quip-chip-chie"". In alarm, harsh scolding.",
236,"Heathwrens, Fieldwrens, Speckled Warbler",Striated Fieldwren,Calamanthus fuliginosus,13-14cm,"the male climbs to the top of a shrub to deliver his song, tail waving sideways as he pours forth a lively, although subdued, succession of trills and chatterings: ""whit-whit wirree, whit-whit-whitCHIER, chrrit-chrrit-chrrit"". The first part is in notes clear, spirited and musical, leading to a louder ""chier"", then quickly followed by a slightly harsh, chattered ""chrrit"", repeated several times.",
236,"Heathwrens, Fieldwrens, Speckled Warbler",Rufous Fieldwren,Calamanthus campestris,12-13cm,"similar to that of Striated, ""chit-whit-whit whirrrrrreet"", with the first short notes whistled clear and high, the last long passage a rattled chattering.",
236,"Heathwrens, Fieldwrens, Speckled Warbler",Speckled Warbler,Chthonicola saittata,12-13cm,"musical song with extensive use of mimicry of other species. A rather undulating, cheery, canary-like, rapid, rambling mix of clear, sharp whistles and deeper, more mellow notes, ""chwiep-cheerip-chip-weip-weip-weip-cheerip-weip-chip"", with many variations.",
238,"Redthroat, Grey-Brown Gerygones",Redthroat,Pyrrholaemus brunneus,11-12cm,"a distinctive intermix of sharp, clear, whistled notes alternate with harsher, chattered sounds: ""whit-whit-chee-chee-quorr-quorr, whit-whit-chee-chee-chak-chak""; ""chi-chi-chi-chi quirrrr"".",
238,"Redthroat, Grey-Brown Gerygones",Western Gerygone,Gerygone fusca,10-11cm,"pensive, whistled tune; high, clear violin notes, descending and rising, meandering, in slow, drawn out, wistful, sweet notes, but ceasing abruptly before the tune seems complete.",
238,"Redthroat, Grey-Brown Gerygones",Brown Gerygone,Gerygone mouki,9-11cm,"brisk, sharp, more vibrant and insect-like than songs of other gerygones: ""withippitee-wit-chippitee-chippitee-chipitee"", ""whitchip-whitchip-whitchip"" and other variations; scolding ""tzip-tzip-tzip"". Song differs slightly in NE Qld; notes are given in an ascending sequence.",
238,"Redthroat, Grey-Brown Gerygones",Mangrove Gerygone,Gerygone levigaster,10-11cm,"song similar to that of White-throated an Western Gerygones, but probably superior. Clear notes, some strong and piercing, others thin, tenuous, clear, like miniature violin, the tune falling wistfully, then lifting strongly, undulating.",
238,"Redthroat, Grey-Brown Gerygones",Dusky Gerygone,Gerygone tenebrosa,11-12cm,"plaintive, mellow, notes, like those of a whistler, although softer, quite unlike the lively, high-pitched, thin, at times sharp, songs of most other gerygones, but rather a slow, rather hesitant variations ""queeit, toowheet, queeit, quit, queeit, whit"".",
240,Gerygones,Large-billed Gerygone,Gerygone magnirostris,10-11cm,"powerful, rich, whistled notes in diverse sequences, some rapid, others slow and deliberate; high, clear, or low and mellow. Will often create a tune, repeat it faithfully a few or many times; then switch abruptly to a new or similar version: ""wheecheeapip-wheecheeapip-wheecheeapip; cheeapip-cheeapip-cheeapip; wichee-wichee-wichee-wichee"".",
240,Gerygones,Green-backed Gerygone,Gerygone choronotus,9-10cm,"clear and ringing, but lacks the diversity of the best of the gerygone songsters; calls repeated in sustained fast bursts: ""CHIRReep-CHIRRep-CHIRReep-"" with emphasis on the first clear, sharp ""CHIRR""; at times delivered extremely rapidly ""CHIRRiepCHIRRiepCHIRRep-"" in long bursts like the reeling trill of a White-winged Fairy-wren.",
240,Gerygones,Fairy Gerygone,Gerygone paplebrosa,10-11cm,"typically lively and cheerful, not very high-pitched, but quite strong and penetrating, rather scratchy, metallic, repetitive: ""whit-WHITch -- tew, whit-WHITch-e-tew, whit-WHITch-e-tew""; ""whit-a-whit-a-WHITchu, whit-a-whit-a-WHITchu"". In these and similar tunes it lacks the variety and creativity of the best of the gerygone songsters.",
240,Gerygones,White-throated Gerygone,Gerygone olivacea,10-11cm,"loud, clear, carrying. Usually begins with several loud, piercing, high notes immediatley followed by pure, high, clearly whistled, violin-like notes that descend in an undulating, silvery, sweet cascade, at times lifting briefly, only to resume the downward, tumbling momentum. Abruptly returns to the initial louder, sharper notes to repeat the whole sequence, often with slight variations.",
242,"Weebill, Yellow-plumaged Thornbills",Weebill,Smicrornis brevirostris,8.5-9.5cm,"strong far-carrying whistled call, slightly husky compared with the clear, pure notes of gerygones. Often a wingle, loud ""wheetiew""; longer sequences are ""whit, whit, WHEETiew"" and ""whit, whit, WHEET-awhit"".",
242,"Weebill, Yellow-plumaged Thornbills",Yellow Thornbill,Acanthiza nana,9-10cm,"a harsh, scratch rather than high, insect-like sound, erratic ""chzip-chzzzip, chzip-chzip, chzeeep, chzip-chzzip-chzzzip"". Also gives a strong, harsher, scolding ""kirrzz, kirrrzz-kirrrzz"".",
242,"Weebill, Yellow-plumaged Thornbills",Striated Thornbill,Acanthiza lineata,10cm,"soft, insect-like, ""tzzt, tzzit, tzzt-tizzit"", at times run together rapidly to form a short tune, almost trilled, ""tzt-tzt-tizzit-tizzit-tzt-tzt-tizzit-tizzit-"".",
242,"Weebill, Yellow-plumaged Thornbills",Buff-rumped Thornbill,Acanthiza reguloides,10.5-11.5cm,"lively, sharp, twitering calls, ""tsip-twit-titch-tseip, twit-ti-twit-twit-tseip, tseip-tseip-tseip"". Song is very much more rapid, an unbroken, tinkling ""chipitit-chiitit-chiptit-chipitit"".",
242,"Weebill, Yellow-plumaged Thornbills",Yellow-rumped Thornbill,Acanthiza chrysorrhoa,11-12cm,"cheery, undulating, chittering, tinkling song; lasts just 3 or 4 seconds, usually ending with two clear whisted notes, the second descending: ""chip-chip-chippity-cheepity-chippity-cheepity-wheit-wheehoo"". Whole song is then repeated almost indentically, a few or many times.",
242,"Weebill, Yellow-plumaged Thornbills",Western Thornbill,Acanthiza inornata,10cm,"weak, erratic with broken sequences of scratchy chittering, ""tchip-tsip"" sounds, with an occasional louder ""choweep"", melow and rather musical: ""tchip-tseeip, cheewip, tseep-tsip, choweep, tsip-cheowip, tsip, seep, choweep, tsip-"". Includes mimicry of other birds.",
244,Thornbills,Slender-billed Thornbill,Acanthiza iredalei,9-10cm,"rapid, high twittering, almost tinkling, ""tsip-tsip-sip-sip-chip-chweeet, tsip-chip-"", the occasional ""chweeet"" louder, more musical.",
244,Thornbills,Mountain Thornbill,Acanthiza katherina,10cm,"intermingled quick, sharp, scratchy sounds and contrasting louder, mellow, musical, whistles: ""tsit-tsew-seweit, tzit-tseet, toowheet, tsit-toowheet, tsit-tchip-tsew"".",
244,Thornbills,Chestnut-rumped Thornbill,Acanthiza uropygialis,9-10cm,"usual call is a high, peevish, squeaking ""tsee, tse-tseep, tseep, tseeip"". Less often a whistled, clear, penetrating ""cheweep-cheweep-cheweep"", or faster, lower a mellow, musical warbling.",
244,Thornbills,Brown Thornbill,Acanthiza pusilla,9.5-10.5cm,"rich, musical with wide range of notes. Very high, clear whistles abruptly cascade in strong, rippling trills to notes unusually deep and mellow for so small a bird. Among these calls sharper scratchy sounds or mimcry of other birds may be inserted. In alarm, gives harsh, churring scoldings.",
244,Thornbills,Inland Thornbill,Acanthiza apicalis,9.5-10.5cm,"lively, sharp ""tsip-chip-"" calls; loud, clear, musically whistled ""chweeeip!"" and deep, mellow, tremulously warbled ""quor-r -- r-r-eip""; overall effect a varied ""tseeeip-tsip-tseep-chweeeeeip, chip-tzzeep-tseep-quorr-r-r-reip! Tsip seep-"". Also buzzing scoldings and passages of mimicry of other birds.",
246,"Thornbills, Whitefaces",Slaty-backed Thornbill,Acanthiza robustirostris,9-10cm,"many calls: frequent ""tseeip"" similar to the Chestnut-rumped and Inland Thornbills; some sounds may be mimicry of those species. Song varies -- whistled, rich, musical notes interspersed with sharp, higher twittering: ""chwip-wip, chwip-wip, cheeowheeep, chwip, chwip-chwip, cheeowheeep, chwip, whip-e-chiew"".",
246,"Thornbills, Whitefaces",Tasmanian Thornbill,Acanthiza ewingii,10cm,"contact calls are sharp, scratchy, twittering ""tszit, tszit""; in alarm gives harsh churrings and buzzing sounds. Other calls are richer, more musical, although disjointed rather than continuous, free-flowing song: ""Chip-cheerwheep. Chirr-chirrowp. Chir-r-r-r-owp!"".",
246,"Thornbills, Whitefaces",Southern Whiteface,Aphelocephala leucopis,10-12cm,"a very rapid, scratchy, twittering ""tzip-tzip-tziptziptziptziptzip-"" or ""tchip-tchip-chipthipt-chipt-chip"" and harsher ""tzzit, tzzit-tzzit, tzzit"". In alarm, a scolding ""kzzurrrk, kzzurrk-kzzurrk-kkzzurrk"".",
246,"Thornbills, Whitefaces",Chestnut-breasted Whiteface,Aphelocephala pectoralis,10cm,"rapid, weak trill often given as contact call while in flight, ""tit-trit-trt-trt-trt-trt-trtt-rtt""; louder plaintive, whistled song: ""wheeit, wheeit-weeeo"".",
246,"Thornbills, Whitefaces",Banded Whiteface,Aphelocephala nigricincta,10-11cm,"a mellow, musical succession of notes, rather bell-like, almost fast enough to be a trill, usually preceded by several longer, clearer notes, ""whh-wheeee-wheeee-wheeet-whit-whee-wheewhihitwhit-whit""; also slower, clear ""whit-whit-whit-whit-whit-whit-"". In alarm, a harsher, buzzing scolding. Breeding males give song-flights: rise steeply; flutter slowly, briefly, singing; then drop to bushes.",
248,"Wattlebirds, Spiny-cheeked and Striped Honeyeaters",Yellow Wattlebird,Anthochaera paradoxa,38-48cm,"harsh, throaty, grating sounds, a gurgling ""grrowgk"", ""chrrowk"" or short, hollow ""klok"" repeated irregularly. Also a duet; the female gives a gurgling ""grrowgk"", ""chrrowk"" or short, hollow ""klok"" repeated irreguarly. Also a duet; the female gives a gurgling sound, the male quickly responds with a harsh croak.",
248,"Wattlebirds, Spiny-cheeked and Striped Honeyeaters",Red Wattlebird,Anthochaera carunculata,32-36cm,"harsh, grating cough or bark: ""hrarrark-hrak"", ""hrrak-a-yak"", ""hraak, hraka-yak""; slow, grating, growled ""graarrrrk"". Female gives a rather more pleasant, mellow ""kieuw-kieuw-kieuw"", at times combined with harsher coughing noises contributed by the male.",
248,"Wattlebirds, Spiny-cheeked and Striped Honeyeaters",Little Wattlebird,Anthochaera chrysoptera,27-31cm,"varied; notes range from harsh to musical. Often a mellow ""kook-"" alternating with a grating ""kraagk"" as ""kook-kook-kraagk-kraagk, kook-kook-kraagk-kraagk"" and ""kraagk-kook-kraagk-kook-"". Song of weestern race is higher, more musical, undulating: ""cook-cook-cup-hook, cook-cook-cup-hook"". All have a harsh, grating single ""graarrrk!"".",
