EnglishCommon,LatinSpecies,Family,Order,Length,Voice
Indigo Bunting,Passerina cyanea,Cardinalidae,Passeriformes,12.5,"Indigo Buntings give short, sharp, thin, one-syllable  "" spit ""  or  "" chip ""  calls. Male Indigo Buntings whistle a bright, lively song of sharp, clear, high-pitched notes that lasts about 2 seconds. They are voluble, singing as many as 200 songs per hour at dawn and keeping up a pace of about one per minute for the rest of the day. Notes or phrases are often repeated in pairs:  "" <i>what! what! where? where? see it! see it!</i> ""   This pattern is recognizable, although the precise tune varies from place to place. Young Indigo Buntings learn their songs from males near where they settle to breed, and this leads to 'song neighborhoods' in which all nearby males sing songs that are similar to each other and that are different from those sung more than a few hundred yards away."
Ivory Gull,Pagophila eburnea,Laridae,Charadriiformes,41.5,"A very harsh, grating, high-pitched  "" keeuur  "" is the most commonly heard call. On the breeding grounds and at the nest, also gives a longer version as a 'long call,' a much longer version as a distress call, and a variety of softer calls during courtship. "
Ivory-billed Woodpecker,Campephilus principalis,Picidae,Piciformes,48.5,"Call is a nasal tooting  "" kent "" often described as the sound of a 'tin trumpet' or of blowing on a clarinet mouthpiece. The call could be given singly or as two notes together, and was often given while feeding. The sound was not nearly as loud as a Pileated Woodpecker's call, and was estimated to be audible from a quarter-mile away at best. "
Juniper Titmouse,Baeolophus ridgwayi,Paridae,Passeriformes,NA,"The most frequently heard call is harsh and scratchy, often given in response to intruders. It is also used to maintain contact with their mate while foraging. They also give a short, rapid 3-syllable call that sounds similar to their song. The Juniper Titmouse sings a rapid and rolling series of 5 to 15 syllables that sounds almost like a video game. Their rapid-fire song lasts about 3 seconds. Juniper Titmice sing all year, but sing more frequently in the spring and summer months."
Kentucky Warbler,Geothlypis formosa,Parulidae,Passeriformes,13,"Call a smacking  "" chip. ""  Song a loud series of  "" chuuree ""  notes. "
Killdeer,Charadrius vociferus,Charadriidae,Charadriiformes,24,"Most noticeable among the Killdeer's many calls is the high, plaintive  "" kill-deer "" the bird is named for. Displaying males give this 0.5-second call over and over while in flight. Birds in distress or sounding an alarm make a sharp  "" dee "" that can intensify into a nervous, bubbling trill. This trill may also be used in courtship displays. "
King Eider,Somateria spectabilis,Anatidae,Anseriformes,55.5,"Males give a gentle, dovelike  "" ruuurrr  "" call, often repeated, when courting females. Both sexes give a low  "" kwak "" in alarm, along with growling, croaking, grunting, and murmuring calls heard mostly on breeding grounds. Birds observed in winter well south of the typical range are mostly silent. "
King Rail,Rallus elegans,Rallidae,Gruiformes,43,"The call most often heard is a descending series of grunt-like sounds, very similar to calls of Clapper and Virginia Rails, which serves as an alarm call, a contact call, and a territorial defense duet. Another call shared by all three is a  "" kik-brrrr "" , whose function is unclear. Six or seven other calls, rarely heard, are involved in courtship, nesting, defense, and brood rearing. A series of abrupt  "" kek "" notes, often a long series, usually slowing in cadence toward the end and often given at night. Very similar to song of Clapper Rail but chestier, deeper, slower, and more staccato. They sing most frequently during establishment of territory through nesting but may sing at any time of year in the southern parts of range."
Kirtland's Warbler,Setophaga kirtlandii,Parulidae,Passeriformes,14.5," Song clear and emphatic  "" chip-chip-che-way-o. "" "
Ladder-backed Woodpecker,Dryobates scalaris,Picidae,Piciformes,17,"The most common call is a loud  "" peek "" ; it is sometimes louder, longer, and higher in pitch than the comparable  "" pit  "" call of Nuttall's. Pairs use the  "" peek "" call to stay in contact when they cannot see each other, but males also use it during conflicts. Also, as in other small woodpeckers, there is a rattling call, which sometimes follows the  "" peek "" call. Other calls, often associated with conflict, include  "" kweek "" ,  "" wicka "" , "" twek "" , and  "" kwah "" , but these are seldom heard.         "
Lapland Longspur,Calcarius lapponicus,Calcariidae,Passeriformes,15.5,"The Lapland Longspur makes a wide variety of call notes for a great many situations. The most commonly heard calls are contact calls heard between individuals in a flock, a series of melodic chirps described as  "" kittyoo  "" or  "" trrr.  "" Their common flight call is a dry  "" prrrt. "" A long, rapid series of squeaky, jingling notes with significant variation. Lapland Longspur songs are notably loud, and can be heard for up to 1km on calm days."
Lark Bunting,Calamospiza melanocorys,Passerellidae,Passeriformes,16,"The most common call note, often given by birds in flight, is a distinctive, gentle  "" hweee "" , given by both sexes. Parents returning to the nest give a chittering call and while feeding young give a  "" whert  "" call. Begging young sometimes give an insectlike buzzy call. In spring and summer, males sing two different songs, both composed of repeated notes—given either slowly and distinctly or more rapidly, as trills. Songs are delivered in distinct phrases and can last up to 8 seconds. Males arrive on the breeding territory, ahead of the females; they tend to sing an 'aggressive flight song,' marked by harsher notes and by pauses between phrases. As males establish territories and pairs form, males switch to singing a sweeter, faster song, from a perch or in flight.  "
Lark Sparrow,Chondestes grammacus,Passerellidae,Passeriformes,16,"Both male and female Lark Sparrows give a sharp metallic  "" tink "" . Male Lark Sparrows sing a melodious jumble of clear notes and trills interspersed with harsh buzzes and churrs. The song generally starts with a short buzz followed by 1-3 clear notes, then a few notes at a lower pitch, and finally a clear trill; they often switch up the order of the notes. Listen for the short buzzes within the jumble to help identify the song. Look for them singing from elevated perches including fence posts, shrubs, and telephone wires."
Laughing Gull,Leucophaeus atricilla,Laridae,Charadriiformes,42.5,"This is a very vocal species whose common call is a loud, descending series of laughing notes lasting 3 seconds or more. They also make a short stuttered alarm call when people, predators, or other gulls approach too closely. This can accelerate and intensify into a loud call lasting several minutes if the birds are defending a nest. "
Lawrence's Goldfinch,Spinus lawrencei,Fringillidae,Passeriformes,11,"A distinctive  "" tink-oo "" is given in or just before flight.  Less commonly heard are harsh alarm calls and soft, tinkling contact calls, given mostly during the nesting season. Males sing a long, jumbled, varied series of high-pitched notes, tinkles, and trills, a bit higher in pitch and more musical than songs of other goldfinches, and often peppered with imitations of other bird species, including flycatchers, wrens, thrushes, and even falcons."
Laysan Albatross,Phoebastria immutabilis,Diomedeidae,Procellariiformes,80,"Laysan Albatrosses make a variety of whining, squeaking, grunting, and moaning calls on the breeding grounds, particularly during courtship. "
Lazuli Bunting,Passerina amoena,Cardinalidae,Passeriformes,14,"The most frequently heard call is a sharp, metallic  "" pik "" given by both males and females. Males sing a complex series of jumbling and squeaky notes that they repeat 2-5 times for about 3 seconds. Although the basic elements of the song remain the same, males switch up the order of the notes, giving variety to their songs. During territory establishment, males sing about 4 songs per minute, but they sing more often during territorial disputes and when the female begins incubating."
LeConte's Sparrow,Ammospiza leconteii,Passerellidae,Passeriformes,12.5,"The common call note is a sharp and shrill  "" tsip "" . Male LeConte's Sparrows sing a simple song consisting of 2-3 thin chips followed by a short trill."
LeConte's Thrasher,Toxostoma lecontei,Mimidae,Passeriformes,26,"The most commonly heard call is a short, rising whistled  "" suuuweeeep "" . Distressed birds also give a double-note whistle similar to that of Curve-billed Thrasher but less incisive. Male sings an incredibly varied series of calls, higher in pitch and squeakier-sounding than other thrashers' songs and usually lacking doubled or tripled phrasing. Females also sing on occasion; their songs are similar to male songs."
Least Bittern,Ixobrychus exilis,Ardeidae,Pelecaniformes,32,"Least Bitterns make a variety of calls, including a ticking sound made by a receptive female in response to a singing male, a rail-like  "" gak-gak!  "" that apparently serves as a contact call between mates, and other cackles, clucks, hisses, and shrieks—probably used as alarm calls or in threat displays against predators. Flying nocturnal migrants sometimes give a high, clucking  "" gark  "" that recalls Green Heron or American Bittern but is higher in pitch. In spring, males sing a subtle, quiet  "" coo-coo-coo-coo "" from concealed locations to attract mates and mark territory. "
Least Flycatcher,Empidonax minimus,Tyrannidae,Passeriformes,13,"Males and females  "" whit "" softly while feeding and attending to the nest. When they feel threatened the  "" whit "" becomes louder and more emphatic. During more aggressive encounters they make a high-hitched  "" weep "" . The song of the Least Flycatcher is a very short and distinctive, dry  "" chebec "" given by males and sometimes females that sounds more like a call. The song consists of two notes that each last less than a quarter of a second. They repeat each song, sometimes singing as many as 60  "" chebecs "" per minute."
Least Grebe,Tachybaptus dominicus,Podicipedidae,Podicipediformes,24.5,"Males in courtship give a high-pitched  "" gamp "" when courting females and a nasal  "" nye-nye-nye-nye "" during the rushing ceremony, part of courtship. Various other quiet calls are heard only around the nest. Pairs give a rapid trill in duet. Though not technically a song, this duet serves many of the same functions."
Least Sandpiper,Calidris minutilla,Scolopacidae,Charadriiformes,14,"Outside of the breeding season, Least Sandpipers give a high-pitched  "" creep "" call. They also give loud trills as part of predator distraction displays, as well as thin  "" seeet "" alarm calls. On the breeding grounds, Least Sandpipers make a songlike sequence of rich trills and high notes, sung by males (and sometimes females)."
Least Tern,Sternula antillarum,Laridae,Charadriiformes,22,"Alarm call a sharp  "" zwreep. ""  Also a high-pitched  "" kee-zink, kee-zink. ""  "
Lesser Black-backed Gull,Larus fuscus,Laridae,Charadriiformes,58,"Calls are loud, clear bugling. "
Lesser Goldfinch,Spinus psaltria,Fringillidae,Passeriformes,10,"When mingling in a flock, Lesser Goldfinches make a very common contact call that's wheezy and descending, given one or two notes at a time. They also give a couple of  "" chit "" notes in flight. Males give a descending  "" tee-yer "" call to females during courtship. The male's breeding song is a jumble of clear notes mixed in with wheezes, trills, and stutters, lasting up to 10 seconds. Males incorporate snippets of the songs of many other species, including Ash-throated Flycatchers, Verdins, Curve-billed Thrashers, American Kestrels, scrub-jays, and many more."
Lesser Nighthawk,Chordeiles acutipennis,Caprimulgidae,Caprimulgiformes,21.5,"From ground perches during the breeding season, Lesser Nighthawks give a toadlike, somewhat eerie trill that lasts for around 7-13 seconds. In flight, they make a bleating whinny that almost sounds like a gurgled laugh, followed by a low muffled trill.  "
Lesser Prairie-Chicken,Tympanuchus pallidicinctus,Phasianidae,Galliformes,39.5,"The low booming of displaying males (sometimes called yodeling, bubbling, or gobbling) is made by air passing through the syrinx and amplified by the esophageal air sacs. Displaying males also give cackles, whoops, squeaks, whines, and clucks. Females cluck and cackle, particularly when in conflict with other females at leks. "
Lesser Scaup,Aythya affinis,Anatidae,Anseriformes,42.5,"Males are generally silent, but they make a soft gurgling sound and a faint  "" wee-o "" call during courtship. Females are much more vocal than males, giving a harsh, burry grunt and a grating bark. "
Lesser Yellowlegs,Tringa flavipes,Scolopacidae,Charadriiformes,25,"The most common call is a whistled single or double noted,  "" tu  "" or  "" tu-tu.  "" During the male's courtship display, he gives a repeated  "" pill-e-wee pill-e-wee,  "" often referred to as a yodel. This is rarely heard away from the breeding grounds. Several short whistled notes followed by a wavering jumble."
Lewis's Woodpecker,Melanerpes lewis,Picidae,Piciformes,27,"Lewis's Woodpeckers are relatively quiet compared to other woodpeckers. Males give a harsh  "" churr "" 3-8 times in quick succession primarily during courtship. Males and perhaps females chatter in a series of short squeaks throughout the year. The alarm call given by both males and females is a sharp squeaky burst.  "
Limpkin,Aramus guarauna,Aramidae,Gruiformes,68.2,"Males have especially long, looped tracheas, or windpipes, as cranes do. They use these to make loud, grating, piercing high-pitched screeches and wails "" .  "" During courtship feeding, or when spotting a predator such as an alligator, Limpkins produce rattling calls. Females in many contexts give a soft  "" gon  "" call, frequently in a slowing series as the mate delivers a rhythmic, cranelike chorus of its wails. This duet is not quite a song but is memorable—numerous writers of natural history and fiction have been moved to describe the chilling sensations produced by this sound, especially at night. "
Lincoln's Sparrow,Melospiza lincolnii,Passerellidae,Passeriformes,14,"Males and females give a high-pitched, insectlike  "" zeet "" and a more aggressive sounding  "" chip "" . Lincoln's Sparrows are one of the most musical sparrows. Males sing a rich wrenlike song of trills, gurgles, and buzzes from exposed perches or tucked inside a shrub. Each song starts off with 2 or 3 bell-like notes before bursting into bubbly trills and gurgles that rapidly change pitch. The song ends with a thin slurred trill as if the bird is running out of steam or perhaps running back into the willow thicket to hide. Each song lasts for about 2 seconds."
Little Blue Heron,Egretta caerulea,Ardeidae,Pelecaniformes,65,"Little Blue Herons are usually silent, but they can utter hoarse, harsh squawks and croaks. "
Little Gull,Hydrocoloeus minutus,Laridae,Charadriiformes,29.5,"Short, hard, nasal  "" kek "" ; repeated. "
Loggerhead Shrike,Lanius ludovicianus,Laniidae,Passeriformes,21.5,"Both sexes utter a variety of muttered trills, stutters and scolds. Loggerhead Shrikes sing quiet songs composed of a rhythmic series of short trills, rasps, and buzzes mixed with clear, often descending notes. Both males and females perform a territory song, similar to the spring song but rougher and harsher."
Long-billed Curlew,Numenius americanus,Scolopacidae,Charadriiformes,57.5,"The alarm and contact call of male and female Long-billed Curlews is a harsh whistled  "" cur-lee "" , rising on second note; given year-round. They also give a rapid whistled tremolo with a slight stuttering quality to it. Song starts with a low whistled  "" prreee "" and builds into a louder  "" prprprprpr prrreeep prrreeep prrreeerr "" ."
Long-billed Dowitcher,Limnodromus scolopaceus,Scolopacidae,Charadriiformes,29,"Diagnostic call is a quick, high-pitched  "" keek "" , sometimes given several times in succession. A feeding flock often calls incessantly but softly (Short-billed flocks do not), sounding almost like an excited group of woodland birds. Less often heard is a quiet  "" tu "" , which can also be given in series and superficially resembles call of Short-billed. Males sing a complex series of piping phrases such as  "" peet-peet "" ;  "" pee-ter-wee-too "" , lasting about 1.5 seconds."
Long-billed Thrasher,Toxostoma longirostre,Mimidae,Passeriformes,27.5,"A low, scolding  "" chzzz ""  and a sharp  "" tchuk "" that sound very similar to the common calls of Brown Thrasher. Also makes a descending  "" kleak "" , a whistled  "" cheeooep "" , and a rising  "" toe-ree. "" Males sing a song similar to a Brown Thrasher's, a rich, warbling set of phrases, with many harsh notes and with many notes repeated 2 to 4 times per phrase."
Long-eared Owl,Asio otus,Strigidae,Strigiformes,37.5,"The female's nest call is higher pitched than the male's advertising song, and richer in harmonics; it sounds more like a bleating lamb, or like blowing through a comb and paper. Both sexes utter a variety of alarm calls, including barks, squeals, and a gruff, catlike mew. Long-eared Owls are silent most of the year, but during breeding season they draw on a complex repertoire analogous to a songbird's song. Males give a series of 10 to more than 200  "" whoo "" notes evenly spaced about 2-4 seconds apart. This deep and forceful utterance, akin to the sound made by blowing across the lip of a very large bottle, can be heard more than half a mile away."
Long-tailed Duck,Clangula hyemalis,Anatidae,Anseriformes,43.5,"The incessant yodeling call of the Long-tailed Duck is one of their defining characteristics. The call is a hooting  "" ahr-ahrouleet,  "" or  "" Tom-Connolly "" , which is also one of this species' colloquial names. "
Long-tailed Jaeger,Stercorarius longicaudus,Stercorariidae,Charadriiformes,50.5,"Gives a long series of around 20 shrill notes that start off short and become drawn out during the middle of the call, ending with shorter notes again. The call can last 10 seconds.  "
Louisiana Waterthrush,Parkesia motacilla,Parulidae,Passeriformes,15.25,"Louisiana Waterthrush's most often heard call note is a sharp, metallic chip "" ,  "" higher in pitch than that of Northern. Both sexes also give a  "" zizz "" call, during courtship or conflict. A soft  "" chut-chut-chut "" contact call has also been recorded. Males sing a primary song that commences with 2-4 sweet, clear, descending whistles; these introductory notes usually have two slurred elements. The remainder of the song is a pleasant jumble that varies between singers. An extended song, heard mostly during territorial conflicts, adds several more phrases to the primary song. Like Northern Waterthrush, Louisiana also has a flight song, sometimes delivered at dusk. In the flight song, the bird begins with a rapid series of chips, which becomes a rapid twitter before the song is given high in the air, usually a faster version of the primary song. Nesting females occasionally also sing primary song."
Lucifer Hummingbird,Calothorax lucifer,Trochilidae,Caprimulgiformes,NA,"Chip notes, often strung together in pairs or series.  Also a quiet  "" brzhee-brzhee. ""  "
Lucy's Warbler,Leiothlypis luciae,Parulidae,Passeriformes,10.5,"Both sexes give a quick, high-pitched, metallic  "" tzip "" . Males sing a set of three (sometimes two) trills, varying in pitch and speed. The song recalls those of related species such as Virginia's and Nashville."
MacGillivray's Warbler,Geothlypis tolmiei,Parulidae,Passeriformes,12.5,"Both sexes give a distinctive  "" tsik  "" call note. Foraging birds regularly give this call, very unlike Mourning Warbler, which tends to forage silently. Males sing a fast series of burry, rising phrases, often written as  "" churry churry churry churry cheery cheery "" and lasting about 1.5 seconds "" .  "" Heard much less often is a flight song, which is similar but mixed with a jumble of rapid call notes."
Magnificent Frigatebird,Fregata magnificens,Fregatidae,Suliformes,101.5,"Magnificent Frigatebirds are usually silent at sea, but sometimes give a grating call when coming in for a landing or while fighting with each other above the colony. Males make guttural drumming sounds during courtship. Juveniles beg for food with harsh screams.  "
Magnolia Warbler,Setophaga magnolia,Parulidae,Passeriformes,12,"Males and females call with a nasal  "" zic "" or  "" zeep "" . During nocturnal migration they give a buzzy  "" zeet "" . Male Magnolia Warblers sing a very short, 1-second song; a whistled  "" weta, weta, WETA "" , with the last notes generally being the loudest and most emphatic. The first notes in the song are fast, alternating between higher and lower pitches, ending with an emphatic slide. They also sing a second type of song at dawn and dusk that lacks the louder final note."
Mallard,Anas platyrhynchos,Anatidae,Anseriformes,57.5,"The quintessential duck's quack is the sound of the female mallard. Females often give this call in a series of 2-10 quacks that begin loudly and get softer. When courting, she may give a paired form of this quack. The male does not quack; instead he gives a quieter, rasping, one- or two-noted call. Ducklings make soft, shrill whistles when alarmed. "
Mangrove Cuckoo,Coccyzus minor,Cuculidae,Cuculiformes,30," Song a series of nasal, guttural  "" ahrr ""  notes."
Marbled Godwit,Limosa fedoa,Scolopacidae,Charadriiformes,45,"On the breeding grounds, males give a  "" ger-whit "" often during display flights, but also from the ground. Males and females also give a  "" rad-i-ca "" call on the breeding grounds, especially during courtship. On the nonbreeding grounds, males and females give a nasal call that sounds a bit like they are laughing.  "
Marbled Murrelet,Brachyramphus marmoratus,Alcidae,Charadriiformes,24.5,"Marbled Murrelets produce a dozen different calls, both in the nesting area and at sea. The most commonly heard calls are a piercing  "" keer "" , sometimes drawn out, and a plaintive, whining or buzzy whistle. At the nest, adults also give high, sharp piping whistles. "
Marsh Wren,Cistothorus palustris,Troglodytidae,Passeriformes,12,"Males and females call to alert each other of danger and to indicate their location. The call is a grating, somewhat buzzy "" chit "" . In flight, males and females give a longer series of nasal calls.  Males sing a rapid series of gurgling and buzzy trills. Though each note may only last for 1-2 seconds, they can carry on for up to 20 minutes, hardly ever repeating the same note. Males in the eastern United States sing a more liquid and less harsh song than males in the West. Eastern males begin each song with a nasal buzz, whereas western males begin with a sharp chuck. Western males also have a more complex set of vocalizations. "
Masked Booby,Sula dactylatra,Sulidae,Suliformes,80,"Male makes high-pitched whistle, female gives louder and lower honk or trumpet. "
McCown's Longspur,Rhynchophanes mccownii,Calcariidae,Passeriformes,15,"The commonly heard calls are a quick  "" whit "" , a sharp, two-noted  "" prit-tup, "" and a dry rattle that recalls rattles of other longspurs and Snow Bunting. Males sing a tinkling, warbling song,  "" see, see, see me, see me, hear me, hear me, see. "" When sung in the air, this song is a bit more complex in structure than when it is sung on the ground. Females sometimes also sing a similar song from the nest."
Merlin,Falco columbarius,Falconidae,Falconiformes,27,"Both sexes give a shrill, chattering call that can last 4 seconds. It's used in courtship as well as aggressive situations. Merlins also have a short chip note used as a contact call and in courtship displays. The male's is higher pitched than the female's. "
Mew Gull,Larus canus,Laridae,Charadriiformes,43.5,"Call a high, sharp squeak, more abrupt than whining of most other gulls. "
Mexican Jay,Aphelocoma wollweberi,Corvidae,Passeriformes,29,"Call loud, harsh, and upwardly inflected,  "" weet, weet. ""  "
Mississippi Kite,Ictinia mississippiensis,Accipitridae,Accipitriformes,35.5,"The Mississippi Kite's call is a high, 2-syllable whistle: a quick note followed by a long one that trails down in pitch. It calls while flying or perched to advertise its presence, and uses a more emphatic version when a predator is present, often attracting other kites to join in. It may add extra syllables during interactions with its mate or nestlings. "
Monk Parakeet,Myiopsitta monachus,Psittacidae,Psittaciformes,49,"Monk Parakeets are very noisy animals with a vocabulary that consists of at least eleven types of calls. Their most characteristic sound is a chatter of short notes that they give while perched or at their nest. Birds in flight make a loud squawking, with many calling at once. Monk Parakeets kept in captivity can learn to mimic human speech. "
Montezuma Quail,Cyrtonyx montezumae,Odontophoridae,Galliformes,21.5,"Often silent.<strong> </strong>Females give a quavering, descending series of metallic whistles with an otherworldly quality; males give a similarly strange buzzy descending whistle that might be mistaken for an insect. Foraging coveys give soft, chicken-like purring, clucking, and moaning sounds. Song a descending whistle combined with a buzz."
Mottled Duck,Anas fulvigula,Anatidae,Anseriformes,53.6,"Similar to Mallard. Males give a low, raspy r "" aeb,  "" sometimes doubled, while females give a loud, raspy series of 6 or so quacks, descending in pitch and intensity. Females also give a soft  "" tickety-tickety-tickety "" while feeding or in flight. Courting birds make a  "" gagg "" sound (female), sometimes in a series, and sharp whistles known as the burp-whistle and grunt-whistle (male).  "
Mountain Bluebird,Sialia currucoides,Turdidae,Passeriformes,18,"A soft, nasal, non-musical ' "" tew "" ' or ' "" peu "" ' note, and a high-pitched ' "" tink "" ' to communicate alarm. Mountain Bluebirds have a simple repertoire of two song types. At dawn, often while flying, they sing a loud, emphatic, chirruping song similar to that of the American Robin. Throughout the day, they perform a soft, repetitious warbling that can last many minutes."
Mountain Chickadee,Poecile gambeli,Paridae,Passeriformes,12.5,"Chickadees are extremely vocal. The most famous call is the one that gave the birds their name, a lively  "" chick-a-dee "" used while mobbing predators, chasing rivals, singing, and staying in contact with a flock. They often repeat parts of the call, particularly the  "" dee "" , and research on Black-capped Chickadees has suggested chickadees do this to emphasize the threat from a predator. Among their other calls is a burbling, half-swallowed  "" gargle "" exchanged when two individuals face off or between mates. A sweet whistled song,  "" fee-bee "" with the second note lower than the first, similar to the whistles of many other chickadees. Mountain Chickadees sometimes sing more than one  "" fee "" and/or more than one  "" bee "" notes as well. Though they sound quite similar to Black-capped Chickadees, research has shown that the two species pay little attention to each other's calls. You'll mainly hear this song in summer."
Mountain Plover,Charadrius montanus,Charadriidae,Charadriiformes,22,"Generally quiet. A  "" kip "" or  "" poit "" flight call can be heard year-round. Also gives low, harsh scolding calls when disturbed. Courting males give a low mooing call and a soft, low  "" chert "" . Both sexes make a whistled  "" wee-wee  "" during courtship. "
Mountain Quail,Oreortyx pictus,Odontophoridae,Galliformes,28.5,"The most commonly heard call is a liquid  "" wit "" whistle, repeated by a bird that is crouched below a dominant, standing bird, as part of either courtship or conflict. Contact calls include sharp, repeated whistles. These help quail to gather together after being separated. Males repeatedly sing a loud, pure-toned, descending  "" QUEE-ar!  "" This distinctive song (sometimes termed a call) begins in spring and mostly concludes when eggs hatch. Males give this call on occasion at other times, perhaps when in conflict with other males."
Mourning Dove,Zenaida macroura,Columbidae,Columbiformes,28.5,"You can often hear paired males give the three-parted 'nest call' while nest-building: a  "" coo-OO-oo "" , highest in the middle. Females sometimes call  "" ohr ohr "" while sitting on the nest. The song (or 'perch-coo') is given mainly by unmated males from a conspicuous perch. It's a soft  "" coo-oo "" followed by two or three louder coos."
Mourning Warbler,Geothlypis philadelphia,Parulidae,Passeriformes,12.5,"A loud, rich "" tsip. "" The primary song is a rapid, burry, rollicking  "" churry churry churry churry chorry chorry "" , with each phrase rising in pitch. This song varies regionally across the species' large range. Flight song is similar but often includes rapid chipping."
Muscovy Duck,Cairina moschata,Anatidae,Anseriformes,75,Muscovy Ducks are usually silent. Females give a quiet quack or croak when frightened and a soft shrill call to communicate with ducklings. Males hiss and puff during courtship. 
Mute Swan,Cygnus olor,Anatidae,Anseriformes,139.5,"Mute Swans aren't mute, but their hoarse, muffled trumpet or bugle call given during territorial defense doesn't carry like the calls of other swan species. Mute Swans also make an explosive snorting or hissing when threatened or disturbed. Mates greet each other with a short, snoring sound, and females solicit their mates with a slow  "" glock, glock "" call. Female swans call to their broods with a sound like a yapping puppy. When in a group Mute Swans growl, whistle, and snort at each other. Cygnets whistle a soft, low-volume contact call when preening or feeding with adults, and peep noisily at a high pitch when distressed or lost. "
Nashville Warbler,Leiothlypis ruficapilla,Parulidae,Passeriformes,12,"A musical, dry  "" chip "" and a more metallic  "" tink. "" Only the male Nashville Warbler sings, a rich and resonant two-parted song consisting of several two-part phrases followed by a lower trill— "" see-bit see-bit see-bit see-bit see-bit titititititi. "" "
Nelson's Sparrow,Ammospiza nelsoni,Passerellidae,Passeriformes,12,"Calls of Nelson's Sparrow sound similar to chip notes of Saltmarsh Sparrow, a soft, sweet  "" tic  "" or  "" tuc "" , sometimes given in series. Males deliver a raspy  "" pssssssssssstk "" , sounding like a short burst of steam escaping a pipe, as well as other similar songs that may sound like a hissing buzz or a wheezy, hushed, or choking gasp. All three subspecies frequently sing at night. Males commonly sing a flight song giving a series of  "" tic "" calls as they fly upward, then delivering the standard song at the apex of their arc and fluttering in mid-air. Then they descend, singing once more before landing. Singing is not territorial but serves to advertise dominance, both to females and other males. Female Nelson's Sparrows sometimes sing."
Neotropic Cormorant,Phalacrocorax brasilianus,Phalacrocoracidae,Suliformes,61,"A distinctive low-pitched guttural grunting, likened to the oinking of a pig. "
Northern Beardless-Tyrannulet,Camptostoma imberbe,Tyrannidae,Passeriformes,12.75,"Common calls are a single plaintive  "" pee "" or a rapid and more energetic  "" pee, pee, pee "" . They also give a burry trill. Northern Beardless-Tyrannulets sing a series of 3-9 clear, plaintive whistles followed by a hiccup."
Northern Bobwhite,Colinus virginianus,Odontophoridae,Galliformes,NA,"Both sexes use sharp whistles and soft contact calls to stay in touch with each other while moving and foraging. Adults point out food items to their chicks with a soft  "" tu-tu-tu "" . Males and females give a loud whistled  "" bob-white "" that sweeps upward in pitch; the song is used mostly by unmated males during the breeding season."
Northern Cardinal,Cardinalis cardinalis,Cardinalidae,Passeriformes,22,"Scientists have described at least 16 different calls for the Northern Cardinal, but the one you'll hear most commonly is a loud, metallic chip. Cardinals make this call when warning off intruders to their territory, when predators are near, as females approach their nests, and by both sexes as they carry food to the nest or when trying to get nestlings to leave the nest. When one member of a pair is about to feed the other, either bird may make a softer  "" took "" note. Both male and female Northern Cardinals sing. The song is a loud string of clear down-slurred or two-parted whistles, often speeding up and ending in a slow trill. The songs typically last 2 to 3 seconds. Syllables can sound like the bird is singing  "" cheer, cheer, cheer "" or  "" birdie, birdie, birdie "" . Males in particular may sing throughout the year, though the peak of singing is in spring and early summer."
Northern Flicker,Colaptes auratus,Picidae,Piciformes,29.5,"Flickers make a loud single-note call, often sounding like  "" kyeer "" , about a half-second long. When birds are close together and displaying they may make a quiet, rhythmic  "" wick-a, wick-a "" call. Northern Flickers make a loud, rolling rattle with a piercing tone that rises and falls in volume several times. The song lasts 7 or 8 seconds and is quite similar to the call of the Pileated Woodpecker. You'll hear it in the spring and early summer, while pairs are forming and birds are establishing their territories. "
Northern Fulmar,Fulmarus glacialis,Procellariidae,Procellariiformes,44.5,"Both male and female make a guttural cackling or quacking during courtship at the nest site. Adults preparing to eject stomach oil onto an intruder give a squeak,  "" f-chee "" ! At sea, mostly silent, but occasionally gives a short grunting sound. "
Northern Gannet,Morus bassanus,Sulidae,Suliformes,101.75,"A raucous, throaty, vibrato  "" arrrrr "" , heard both at colonies and from birds foraging at sea. Also a quieter, ravenlike  "" krok krok  "" heard from birds at sea. "
Northern Goshawk,Accipiter gentilis,Accipitridae,Accipitriformes,58.5,"Adult goshawks give a rapid-fire  "" ki-ki-ki-ki "" alarm call repeated 10-20 times in response to threats or when chasing prey. They sometimes precede the call with a drawn-out  "" kreey-a "" . When defending the nest, the female's call can intensify to a constant scream. Both males and females also use three variations of a wailing  "" kree-ah "" : members of a pair call to each other when the male enters the territory (often announcing himself with a single-note call), and the female gives a shorter version of the wail when her partner brings food to the nest. Once he delivers the prey, she gives a slower, clipped  "" kree-ah "" and continues calling until he leaves the area. "
Northern Harrier,Circus hudsonius,Accipitridae,Accipitriformes,48,"Males and females both give a fast series of  "" kek "" notes lasting 1-2 seconds during courtship displays. When threatened by nest predators or mobbed by small birds, they use higher-pitched  "" kek "" notes. The female gives a piercing scream during the breeding season, prompting the male to either mate with her or bring food. "
Northern Hawk Owl,Surnia ulula,Strigidae,Strigiformes,40.5,"Their alarm call is a harsh screech followed by a faster and repeated raspy  "" kip "" . Fledglings give a high-pitched scream.  Males sing a rolling whistled  "" ulululululul "" , that lasts around 14 seconds during display flights to attract a mate. Females have a similar, but shorter and hoarser song."
